method,k,h,rtol,success,n_steps,nfev,njev,newton_iter,cpu_time,error_message,error_q1_rms,error_global_rms,error_final,energy_initial,energy_final,energy_drift_relative,energy_variation_max,h_equivalent,comparison_type,radau_equivalent_rtol
Radau,10,,0.001,True,517,4218,18,0,0.18303275108337402,,0.0006244396995317404,0.020589989966877092,0.005110773129739732,1.048419162864428,1.0483853644745647,3.2237478158010924e-05,3.402463850623033e-05,0.019342359767891684,fair,
RK4,10,0.019342359767891684,,True,517,2068,0,0,0.055635690689086914,,0.000887999905609609,0.08981172201042684,0.1902483208362064,1.048419162864428,1.047787221298997,0.000602756595658221,0.000602756595658221,,fair,0.001
Euler_Explicit,10,0.019342359767891684,,False,141,141,0,0,0.003664255142211914,Instabilità numerica al passo 141,,,,,,,,,fair,0.001
Euler_Implicit,10,0.019342359767891684,,True,517,10340,1034,1034,0.2808213233947754,,0.3628360093702072,1.9853328223020361,2.2253690723792428,1.048419162864428,-2.7558045906729127,3.6285332129409658,3.6285332129409658,,fair,0.001
Trapezoid,10,0.019342359767891684,,True,517,10340,1034,1034,0.28580641746520996,,0.013943263392225631,0.6414283816304721,0.8794238046726116,1.048419162864428,1.0455060660233886,0.0027785612322082753,0.003100046714551562,,fair,0.001
Radau,10,,0.0001,True,898,7056,29,0,0.30228281021118164,,0.00019645203254711895,0.0060533444926970745,0.0002860018902887145,1.048419162864428,1.0484173309970926,1.7472661701193644e-06,1.7775481858556156e-06,0.011135857461024499,fair,
RK4,10,0.011135857461024499,,True,898,3592,0,0,0.09639453887939453,,0.00018966969658439528,0.012118386228806932,0.020015085612439712,1.048419162864428,1.048371029244751,4.591066377060379e-05,4.591066377060379e-05,,fair,0.0001
Euler_Explicit,10,0.011135857461024499,,False,705,705,0,0,0.017833948135375977,Instabilità numerica al passo 705,,,,,,,,,fair,0.0001
Euler_Implicit,10,0.011135857461024499,,True,898,17960,1796,1796,0.48767852783203125,,0.2926308238223537,1.6229126917674301,2.3343364368678006,1.048419162864428,-2.615733022207901,3.494930572483387,3.494930572483387,,fair,0.0001
Trapezoid,10,0.011135857461024499,,True,898,17960,1796,1796,0.4975922107696533,,0.006672761461980513,0.6207973443551115,0.7596145983051779,1.048419162864428,1.047435975313824,0.0009377809805743022,0.0010314483239832076,,fair,0.0001
Radau,10,,1e-05,True,1555,11979,27,0,0.5038943290710449,,6.584489590220031e-05,0.0019333033085222936,1.8101563020933916e-05,1.048419162864428,1.0484189963129253,1.588596512624233e-07,1.6028943099747647e-07,0.006430868167202572,fair,
RK4,10,0.006430868167202572,,True,1555,6220,0,0,0.1660614013671875,,5.607653972836815e-05,0.0021907877026757605,0.002027014474544428,1.048419162864428,1.0484160310024617,2.9872231232911613e-06,2.9872231232911613e-06,,fair,1e-05
Euler_Explicit,10,0.006430868167202572,,True,1555,1555,0,0,0.0393984317779541,,0.6075897629800031,70.8353794938805,75.32604418046357,1.048419162864428,210.7867152923197,200.0519482650631,600.6185161567338,,fair,1e-05
Euler_Implicit,10,0.006430868167202572,,True,1555,31100,3110,3110,0.8401145935058594,,0.21829966961198363,1.2475112254617435,2.2952727475131427,1.048419162864428,-2.1646912355649253,3.064719257563631,3.064719257563631,,fair,1e-05
Trapezoid,10,0.006430868167202572,,True,1555,31100,3110,3110,0.8547813892364502,,0.0027609540012253986,0.25438731141000365,0.5751163417043619,1.048419162864428,1.048105453073756,0.00029922172522574286,0.0003468327520811299,,fair,1e-05
Radau,10,,1e-06,True,2742,20801,16,0,0.8618080615997314,,2.1137565889380122e-05,0.0006227282813822261,1.03693086397777e-06,1.048419162864428,1.0484191524264144,9.955954578393321e-09,1.003006219918656e-08,0.0036469730123997084,fair,
RK4,10,0.0036469730123997084,,True,2742,10968,0,0,0.2926042079925537,,1.768013111847343e-05,0.0005803158955543027,0.0001962529180264444,1.048419162864428,1.0484189813931954,1.7309034297852694e-07,1.731558752256797e-07,,fair,1e-06
Euler_Explicit,10,0.0036469730123997084,,True,2742,2742,0,0,0.06985735893249512,,0.8440534315265357,90.27811306448018,125.32823248392043,1.048419162864428,377.5921984392294,359.15385049582136,737.356338514711,,fair,1e-06
Euler_Implicit,10,0.0036469730123997084,,True,2742,54831,5483,5483,1.4843227863311768,,0.14908225253292334,0.9070310129051359,1.949678186157844,1.048419162864428,-1.4162538228220407,2.3508469446062366,2.3508469446062366,,fair,1e-06
Trapezoid,10,0.0036469730123997084,,True,2742,54714,5470,5470,1.5028460025787354,,0.0009180749570419574,0.08443259658201191,0.15836458874356016,1.048419162864428,1.048317238005506,9.721766115333785e-05,0.00011202122937375957,,fair,1e-06
Radau,100,,0.001,True,1731,13025,10,0,0.5468094348907471,,0.00044573265136834105,0.16660375679421735,0.09931283619121806,1.948419162864428,1.943394324852694,0.00257893070829122,0.0025789307082913337,0.005777007510109763,fair,
RK4,100,0.005777007510109763,,True,1731,6924,0,0,0.18566131591796875,,0.0032229095527216657,1.2309958192043775,1.3303199063346824,1.948419162864428,1.8410168212261375,0.055122811192431106,0.055122811192431106,,fair,0.001
Euler_Explicit,100,0.005777007510109763,,False,98,98,0,0,0.002635478973388672,Instabilità numerica al passo 98,,,,,,,,,fair,0.001
Euler_Implicit,100,0.005777007510109763,,True,1731,29454,2888,2888,0.7949280738830566,,0.12154385065011725,4.83843629567712,6.528904417562078,1.948419162864428,-0.327238327378875,1.167950682079,1.167950682079,,fair,0.001
Trapezoid,100,0.005777007510109763,,True,1731,35889,3603,3603,0.9811630249023438,,0.017695399596608694,6.544040732882025,10.751904288482194,1.948419162864428,1.948129864794766,0.00014847835372176372,0.0003134276839752636,,fair,0.001
Radau,100,,0.0001,True,3093,22904,2,0,0.9530668258666992,,0.0001197095484764612,0.04530946549903764,0.005372898241485973,1.948419162864428,1.9481491729319889,0.00013856871128401722,0.00013856871128413117,0.0032331070158422245,fair,
RK4,100,0.0032331070158422245,,True,3093,12372,0,0,0.33053159713745117,,0.00041347100186874734,0.1563880849574483,0.007330215900561022,1.948419162864428,1.9403482865169952,0.004142269025709864,0.004142269025709864,,fair,0.0001
Euler_Explicit,100,0.0032331070158422245,,True,3093,3093,0,0,0.07840132713317871,,1.0683437866471677,198.80734831695972,81.94748783271746,1.948419162864428,1024.2773420969904,524.6966065716426,5116.656575170833,,fair,0.0001
Euler_Implicit,100,0.0032331070158422245,,True,3093,52968,5198,5198,1.438413143157959,,0.10546130290809974,4.755002092813854,6.487651155309666,1.948419162864428,-0.3234345076866717,1.1659984226449411,1.1659984226449411,,fair,0.0001
Trapezoid,100,0.0032331070158422245,,True,3093,61860,6186,6186,1.7035226821899414,,0.015701445047666237,5.979312497277981,1.460394499624813,1.948419162864428,1.9483211030508325,5.032788399155492e-05,0.00010144811041560702,,fair,0.0001
Radau,100,,1e-05,True,5617,40992,2,0,1.6934447288513184,,3.492478065153672e-05,0.013639376793997836,0.00028197738189659604,1.948419162864428,1.948405149874123,7.1919793092218635e-06,7.191979309335825e-06,0.0017803097739006587,fair,
RK4,100,0.0017803097739006587,,True,5617,22468,0,0,0.5980539321899414,,5.3805567677500626e-05,0.020182373808649068,0.007045358300321033,1.948419162864428,1.9479999520707902,0.00021515431670335826,0.00021515431670335826,,fair,1e-05
Euler_Explicit,100,0.0017803097739006587,,True,5617,5617,0,0,0.1418771743774414,,0.5383492561478396,289.3093184216,415.8640352845378,1.948419162864428,3223.8334653618385,1653.5892828432186,4341.1113083024375,,fair,1e-05
Euler_Implicit,100,0.0017803097739006587,,True,5617,86789,8395,8395,2.3324549198150635,,0.08206846930092149,4.646529869325626,6.355111089571479,1.948419162864428,-0.26293620484430524,1.1349484802119043,1.1349484802119043,,fair,1e-05
Trapezoid,100,0.0017803097739006587,,True,5617,112340,11234,11234,3.0978221893310547,,0.01366741752486957,5.234634195823712,8.043495516091486,1.948419162864428,1.948378094847027,2.1077609060581823e-05,3.1181995826111505e-05,,fair,1e-05
Radau,100,,1e-06,True,10150,73839,2,0,3.0463571548461914,,1.0813462781360553e-05,0.004185567588998097,1.5110792550534203e-05,1.948419162864428,1.9484184103738162,3.8620571289980567e-07,3.8661150511108233e-07,0.0009852216748768472,fair,
RK4,100,0.0009852216748768472,,True,10150,40600,0,0,1.071911334991455,,1.0912998065073367e-05,0.004047056573830562,0.0010313116065504232,1.948419162864428,1.9483973277220363,1.120659394441319e-05,1.120659394441319e-05,,fair,1e-06
Euler_Explicit,100,0.0009852216748768472,,True,10150,10150,0,0,0.2562065124511719,,1.0234155512540088,387.8665477570065,180.5817607240589,1.948419162864428,4564.63880735507,2341.739639577585,4429.438365206433,,fair,1e-06
