method,k,h,rtol,success,n_steps,nfev,njev,newton_iter,cpu_time,error_message,error_q1_rms,error_global_rms,error_final,energy_initial,energy_final,energy_drift_relative,energy_variation_max
Euler_Explicit,10,0.1,,False,8,8,0,0,0.007577180862426758,Instabilità numerica al passo 8,,,,,,,
Euler_Explicit,10,0.05,,False,14,14,0,0,0.00040149688720703125,Instabilità numerica al passo 14,,,,,,,
Euler_Explicit,10,0.02,,False,64,64,0,0,0.001657724380493164,Instabilità numerica al passo 64,,,,,,,
Euler_Explicit,10,0.01,,True,1000,1000,0,0,0.02802896499633789,,0.782233463595462,52.365167000209844,113.06400371612541,1.048419162864428,96.56756784882984,91.1077859593807,443.6973689566499
Euler_Explicit,10,0.005,,True,2000,2000,0,0,0.05803275108337402,,0.7074858472082726,84.4793570935902,90.98769832083654,1.048419162864428,215.09573606926148,204.1619654505263,685.3305551540383
Euler_Explicit,10,0.002,,True,5000,5000,0,0,0.14262652397155762,,0.6132269685449462,56.51889261856729,168.29188804027635,1.048419162864428,553.65849667759,527.0888754121181,690.3403197130983
Euler_Explicit,10,0.001,,True,10000,10000,0,0,0.28047895431518555,,0.14407489476329566,12.47688925190602,30.160198553103132,1.048419162864428,19.592806843277195,17.68795185863153,17.74250269280658
Euler_Implicit,10,0.1,,True,100,2045,205,205,0.06129002571105957,,0.4772004631108571,2.6001825371023655,2.17803691818565,1.048419162864428,-2.77020290233449,3.642266567091265,3.642266567091265
Euler_Implicit,10,0.05,,True,200,4342,438,438,0.13150358200073242,,0.4466691005206111,2.4327206648925515,2.1759159525676863,1.048419162864428,-2.7701999220454847,3.642263724441006,3.642263724441006
Euler_Implicit,10,0.02,,True,500,10000,1000,1000,0.2991509437561035,,0.3666868236588796,2.0054971952024276,2.2196611862051867,1.048419162864428,-2.758284259583619,3.6308983632534915,3.6308983632534915
Euler_Implicit,10,0.01,,True,1000,20000,2000,2000,0.5993528366088867,,0.27803558134390055,1.548605261832992,2.3464843865596006,1.048419162864428,-2.5553760673223995,3.437361084035086,3.437361084035086
Euler_Implicit,10,0.005,,True,2000,40000,4000,4000,1.222266435623169,,0.18601513016709545,1.0871423339212676,2.177106193509586,1.048419162864428,-1.8538255022442485,2.7682102425325166,2.7682102425325166
Euler_Implicit,10,0.002,,True,5000,87580,8620,8620,2.6842129230499268,,0.09276555649038604,0.6451987708888248,1.413115985640106,1.048419162864428,-0.5999015417748115,1.572196277046097,1.572196277046097
Euler_Implicit,10,0.001,,True,10000,111566,10174,10174,3.4067137241363525,,0.050463565221195376,0.4603626312688506,0.8939432294008786,1.048419162864428,0.1121206919819232,0.8930573801459392,0.8930573801459392
Trapezoid,10,0.1,,True,100,3197,333,333,0.0987241268157959,,0.31952764328841177,1.8456254194337114,2.0565438941949474,1.048419162864428,1.01855360016049,0.028486280832888462,0.07711008499010234
Trapezoid,10,0.05,,True,200,5584,576,576,0.17168164253234863,,0.08574971727885826,0.7300980075541632,1.058370678559029,1.048419162864428,1.031286616427245,0.016341313707367258,0.021710467561331694
Trapezoid,10,0.02,,True,500,10000,1000,1000,0.30832934379577637,,0.014790707579288903,0.6576217171814137,0.5718994578474018,1.048419162864428,1.0452148612669216,0.0030563172736672293,0.0033112452772892146
Trapezoid,10,0.01,,True,1000,20000,2000,2000,0.6140258312225342,,0.005794859476652457,0.5434300852789254,0.9613697443964523,1.048419162864428,1.0476478243849945,0.0007357157392335743,0.00083311933331895
Trapezoid,10,0.005,,True,2000,40000,4000,4000,1.2282624244689941,,0.001707349383292091,0.15689138451661716,0.32727870033108303,1.048419162864428,1.0482285921766619,0.0001817695579365428,0.0002103279807746639
Trapezoid,10,0.002,,True,5000,83530,8170,8170,2.54768705368042,,0.0002774971784021476,0.025584100235721673,0.042559322243971555,1.048419162864428,1.0483883463156023,2.9393347543787296e-05,3.367383641608466e-05
Trapezoid,10,0.001,,True,10000,110000,10000,10000,3.435476303100586,,6.944210882512176e-05,0.006409607937608853,0.010176083828131698,1.048419162864428,1.0484114433874896,7.3629681827339045e-06,8.414651741054686e-06
RK4,10,0.1,,False,8,33,0,0,0.0011475086212158203,y_temp(k1) instabile al passo 9,,,,,,,
RK4,10,0.05,,True,200,800,0,0,0.024266958236694336,,0.004712165849766182,0.4390800912598545,0.37765525696425917,1.048419162864428,1.0414435641200106,0.006653444530104753,0.006653444530104753
RK4,10,0.02,,True,500,2000,0,0,0.060629844665527344,,0.0009818196001342317,0.10104151530010277,0.21497299529333516,1.048419162864428,1.0476951575224678,0.0006905685889812148,0.0006905685889812148
RK4,10,0.01,,True,1000,4000,0,0,0.1218259334564209,,0.00014670901782803424,0.008362406992813348,0.012753393591788802,1.048419162864428,1.0483908657839285,2.699023587296832e-05,2.699023587296832e-05
RK4,10,0.005,,True,2000,8000,0,0,0.23945164680480957,,3.344448799995265e-05,0.0011692029313338575,0.0007167326550424995,1.048419162864428,1.0484182761693244,8.457448461176199e-07,8.457448461176199e-07
RK4,10,0.002,,True,5000,20000,0,0,0.5995590686798096,,5.2989841161953605e-06,0.00016866079247209747,1.6997552011288506e-05,1.048419162864428,1.048419154137213,8.324165810615362e-09,8.48246373466425e-09
RK4,10,0.001,,True,10000,40000,0,0,1.2052133083343506,,1.3237341618832473e-06,4.1941126621480584e-05,1.0328640589826892e-06,1.048419162864428,1.0484191626112724,2.41464011277728e-10,2.7274389912868417e-10
